,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_IntradayStrength_SNZ,1.905068109772727e-05,0.0,0.0,0.0,0.0,0.0
MOM_LowerShadowMA5_SNZ,6.705600066259915e-06,0.0,0.0,0.0,2.6210010829170092e-05,0.0
MOM_Streak_SNZ,2.4555116195477134e-05,0.0,0.0,6.696305515294463e-05,3.0729269772559926e-05,0.0
MOM_BullishRatio20_SNZ,5.052921295577854e-05,0.0,0.0,0.0,2.6278624059269194e-05,0.0
MOM_ClosePosition_SNZ,0.0,0.0,0.0,0.0,0.0,0.0
MOM_GapRate_SNZ,9.403115329157184e-06,0.0,0.0,0.0,0.0,0.0
MOM_MaxGain5_CSZ,0.00010601151160817593,0.0,0.0,0.0,5.9484688480637215e-05,0.0
MOM_MaxGain5_SNZ,2.2437381685945886e-05,0.0,0.0,0.0,0.0,0.0
MOM_RCI9_SNZ,0.00010059649436774199,0.0,0.0,0.0,0.0,0.0
MOM_RCI9Diff_SNZ,6.901619198094344e-06,0.0,0.0,0.0,0.0,0.0
MOM_RCI26_SNZ,0.0,0.0,0.0,0.0,0.0,0.0
MOM_RCI26Diff_SNZ,9.63339410785809e-06,0.0,0.0,0.0,0.0,0.0
MOM_RCI52_SNZ,7.342264329101742e-05,0.0,0.0,0.0,0.0,0.0
MOM_Momentum12-1_CSZ,0.0001981931101996412,0.0,0.0,0.0,7.943155116947457e-05,1.1923109376851332e-05
MOM_Momentum12-1_SNZ,3.563870454533861e-05,0.0,0.0,0.0,6.833077045022786e-05,0.0
MOM_RetIntraday_SNZ,9.675631817649507e-06,0.0,0.0,0.0,0.0,0.0
MOM_WinRate10d_SNZ,1.100600711961555e-05,0.0,0.0,0.0,6.217088389828772e-06,0.0
MOM_MADev25_CSZ,3.384893535450435e-05,0.0,0.0,0.0,8.350906951949424e-06,0.0
MOM_MADev25_SNZ,2.4020296078417917e-05,0.0,0.0,0.0,1.0088531185093113e-05,1.676387770887278e-05
MOM_MADev75_CSZ,0.0003640470179656599,0.0,0.0,0.0,2.199628419736049e-05,0.0
MOM_MADev75_SNZ,4.818769745577558e-05,0.0,0.0,0.0,5.723318215887793e-05,0.0
