,fold_0,fold_1,fold_2,fold_3,fold_4
LIQ_MFI14_TSR_252D,0.0,0.0,0.0,0.0,2.2085271192357687e-05
LIQ_VolRatio5d_TSR_252D,0.0,0.0,0.0,7.142718338667469e-06,8.640334138575246e-06
LIQ_VolSpikeCount20_TSZ_20D,0.0,0.0,0.0,0.0,1.937633827188905e-05
LIQ_VolSpikeCount20_TSR_252D,1.4835876979347584e-05,0.0,1.004853489737138e-05,6.734762610078015e-06,0.00017263448991393035
LIQ_VolUpDownRatio_TSZ_20D,0.0,0.0,0.0,0.0,1.5965312073072252e-05
LIQ_VolUpDownRatio_TSR_252D,0.0,0.0,5.363900336349194e-05,9.785096012690019e-06,2.4187873931677992e-05
VOL_VolumeMA25_TSZ_20D,0.0,0.0,0.0,0.0,1.0158253632011391e-05
VOL_VolumeMA25_TSR_252D,2.3985922219983378e-05,0.0,0.0006107490834479354,0.00012456135781791126,0.00037260427574356764
LIQ_TurnoverRatio_TSZ_20D,0.0,0.0,0.0,0.0,1.0705605374029653e-05
LIQ_TurnoverRatio_TSR_252D,0.0,0.0,0.0,0.0,0.00013235352613608225
LIQ_AmihudIlliq_TSZ_20D,3.823028972349291e-05,0.0,0.0,0.0,1.343026078527263e-05
LIQ_AmihudIlliq_TSR_252D,0.0,0.0,0.0,7.372593024334637e-06,0.0001030833724615085
VAL_LogPBR_TSZ_20D,0.00025947895592187854,0.0,0.0,0.0008579464688374405,0.0005942858860647964
VAL_LogPBR_TSR_252D,4.7311749143514266e-05,4.5237176175579334e-05,0.00041988497099663464,8.118567550105918e-05,0.00020685980597365763
VAL_EarningsYield_TSZ_20D,0.0001277106358439062,0.0,3.512484353748456e-05,0.0001571422620747926,0.00026808467988717946
VAL_EarningsYield_TSR_252D,4.708352188422416e-05,0.0,7.266201614985512e-05,3.131925048895485e-05,0.0001896814994667739
QLT_Accruals_TSZ_20D,0.0,0.0,0.0,0.0,1.4569151191451161e-05
QLT_Accruals_TSR_252D,0.00022037432023945435,0.0,0.0007358151577673767,0.00039979206260925453,0.0020662988484884655
QLT_EquityRatio_TSZ_20D,0.0,0.0,0.0,1.232002229336825e-05,1.643792465336975e-05
QLT_EquityRatio_TSR_252D,7.550851410133295e-06,0.0,0.0001351141894610438,9.615755270802957e-05,8.404813779448189e-05
QLT_OPMargin_TSZ_20D,0.00018798519562031752,4.179068024998314e-05,0.0001674624134757787,5.388517220341635e-05,8.826256263176464e-05
QLT_OPMargin_TSR_252D,0.00014592033460922025,3.989362980792585e-05,0.00027610544946021797,8.000678913662247e-05,0.001133691985885877
QLT_ROE_TSZ_20D,6.147854252069272e-06,0.0,0.0,0.0,7.08911587272633e-05
QLT_ROE_TSR_252D,0.0003327215333895331,3.6995198706460676e-05,0.00039607116041286567,0.0008769463777540876,0.00023784123964855903
QLT_OperatingProfitGrowthYOY_TSZ_20D,7.423531495480994e-05,4.325375684551362e-05,2.3985478256114085e-05,1.5233083835504394e-05,0.0004661775877166204
QLT_OperatingProfitGrowthYOY_TSR_252D,0.00014618627596204477,6.172897212287401e-06,8.033953344984718e-05,4.861023771649192e-05,0.00027333197788298577
QLT_SalesGrowthYOY_TSZ_20D,0.0,0.0,1.878093291075803e-05,3.990713687611863e-05,0.00017201308232733039
QLT_SalesGrowthYOY_TSR_252D,2.795790709732788e-05,0.0,2.058313690210503e-05,6.281276722046123e-05,0.00022099494867742144
QLT_EPSGrowthYOY_TSZ_20D,0.0,0.0,0.0,0.0,6.655206235122828e-05
QLT_EPSGrowthYOY_TSR_252D,4.227508469295521e-05,2.5173920258109997e-06,7.819752364643651e-05,4.994466179104583e-05,0.00030849964256734493
SPD_DistVWAP5_TSZ_20D,0.0,0.0,0.0,0.0,3.446069030420937e-05
SPD_DistVWAP5_TSR_252D,2.721495602247103e-05,0.0,0.0,9.16562636469871e-06,4.6977360725129543e-05
SPD_DistVWAPSlope_TSR_252D,0.0,0.0,0.0,2.394362199541141e-06,3.0376933181857327e-05
SPD_VWAPDev_TSZ_20D,0.0,0.0,0.0,6.293865438610584e-06,2.9408998507391957e-05
SPD_VWAPDev_TSR_252D,0.0,0.0,0.0,1.505433365682683e-05,1.5841297191359937e-05
