,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_Return10d_TSZ_20D,0.0,0.00011129570072280779,0.0,1.7330046578449165e-05,5.773739722054302e-06,3.2788515076412815e-05
MOM_Return10d_TSR_252D,2.1659215403317298e-05,3.8276623475791425e-05,4.876989492088227e-06,2.6262781651283782e-05,0.0,1.0198591498641026e-05
MOM_Return20d_TSZ_20D,0.0,4.695925136313749e-05,2.054459956470417e-06,5.083342992524599e-05,4.14646391281867e-05,1.0424935007935225e-05
MOM_Return20d_TSR_252D,1.4529296247615151e-05,5.910219455333562e-05,0.0,5.4154507032454634e-05,5.7228919626993165e-06,2.6685945218378336e-05
MOM_Return1dLag1_TSR_252D,8.995225034355734e-06,0.0004115706500873922,5.860810233545975e-06,3.5944180000858355e-05,2.6088441452755243e-05,5.8665101525310546e-05
MOM_Return1dLag2_TSR_252D,7.144852705698471e-05,0.0009597608590252158,0.0,8.366115380717199e-05,4.492734236987096e-05,4.2180365267698e-05
MOM_RSI9-14Diff_TSZ_20D,8.313064000089235e-06,3.983030303966228e-05,0.0,7.350435533686885e-05,1.5903527895320707e-06,9.931988875708134e-06
MOM_RSI9-14Diff_TSR_252D,1.907644686810039e-05,7.105826443964386e-05,1.0565206573387759e-05,8.351028723372746e-06,2.71939092719901e-05,9.272137184181853e-06
MOM_BBPercentB_TSZ_20D,2.406935600386478e-05,4.8862042593573355e-06,0.0,0.0,4.0735459845587495e-06,0.0
MOM_UpperShadowRatio_TSZ_20D,0.0,3.9302678118123466e-05,0.0,5.61656525943603e-06,0.0,0.0
MOM_UpperShadowRatio_TSR_252D,0.0,1.684889325597166e-05,0.0,4.3620220876428956e-06,0.0,0.0
MOM_LowerShadowRatio_TSZ_20D,0.0,1.0039252476597736e-05,0.0,3.628098868713872e-06,0.0,2.431907159263948e-06
MOM_LowerShadowRatio_TSR_252D,1.9053596698237416e-05,3.6967056973500096e-05,0.0,2.0236099925830554e-06,0.0,3.576849303349749e-05
MOM_IntradayStrength_TSR_252D,2.262623182040736e-06,0.00011618859090736158,0.0,3.537666708566918e-05,0.0,2.7953198177987684e-05
MOM_LowerShadowMA5_TSZ_20D,0.0,0.00012137947170210178,8.956401774518445e-06,0.0,0.0,0.0
MOM_LowerShadowMA5_TSR_252D,0.0,2.6740481767213533e-05,0.0,5.2225481039462375e-06,0.0,0.0
MOM_Streak_TSZ_20D,7.601975913332552e-06,1.794645726749039e-05,1.2982580926820014e-05,1.746706122126333e-05,0.0,6.712803919730554e-06
MOM_Streak_TSR_252D,3.425249233364775e-05,0.00012965282735116472,0.0,6.506019981002165e-05,0.0,4.546834312652553e-06
MOM_BullishRatio20_TSZ_20D,0.0,1.744623016685639e-05,0.0,1.43072394978067e-05,0.0,0.0
MOM_BullishRatio20_TSR_252D,0.0,4.151766866667006e-05,0.0,4.72281885206546e-05,0.0,0.0
MOM_ClosePosition_TSZ_20D,0.0,3.914570625271075e-05,0.0,2.3483274026485953e-05,0.0,5.6138266030031344e-06
MOM_ClosePosition_TSR_252D,2.4236160331794556e-05,5.43523267255839e-05,0.0,1.4085811796435194e-05,1.9238029843200947e-05,2.4998170365530043e-05
MOM_GapRate_TSZ_20D,0.0,2.7394310270123496e-05,7.303790657071612e-05,4.664975647180163e-05,2.974922416270726e-05,1.7227784875938693e-05
MOM_GapRate_TSR_252D,8.201575644913495e-05,0.0008645101214314587,0.0002482781923008394,0.0007506477994218617,0.00026545652533871563,0.00015674183653741763
MOM_MaxGain5_TSZ_20D,0.0,5.741968137768462e-05,0.0,0.00014138877119603037,0.0,7.046393738764009e-05
MOM_MaxGain5_TSR_252D,0.0,7.283325347987324e-05,0.0,0.00010817181145174494,4.856567956188554e-05,4.207707652854652e-05
MOM_RCI9_TSZ_20D,1.0152910600564463e-06,9.206626155177368e-05,7.882562208687657e-06,6.032049918316192e-06,8.861442828816483e-06,0.0
MOM_RCI9_TSR_252D,5.805023612148991e-06,6.251357374434641e-05,2.9421908469982995e-06,1.187158934760736e-05,2.752234175012697e-06,6.6380803548561814e-06
MOM_RCI9Diff_TSR_252D,1.4359174940693451e-05,8.07850968609232e-05,1.8514151686713015e-05,2.9789404801508644e-05,8.923952759473854e-06,0.0
MOM_RCI26_TSZ_20D,8.732020004566682e-06,6.0960749765014735e-05,0.0,4.865512187431039e-05,2.3685526299721263e-05,1.8041291726644556e-05
MOM_RCI26_TSR_252D,0.0,0.00020312760030031577,5.882654205036652e-06,0.00011124104194998383,7.387873012171306e-05,4.254113891030653e-05
MOM_RCI26Diff_TSZ_20D,0.0,2.3529803075690455e-05,0.0,1.717131330214456e-05,0.0,3.2255203325946265e-05
MOM_RCI26Diff_TSR_252D,1.659508484267375e-05,4.869351762638089e-05,0.0,1.8245368517831176e-05,7.3389817936069015e-06,4.4488389784366135e-06
MOM_RCI52_TSZ_20D,1.0820602486927188e-05,9.066468002776356e-05,0.0,0.00040926323501310207,4.024197494569035e-05,0.0002823352946062476
MOM_RCI52_TSR_252D,1.3553030214804842e-05,0.0008010764419922286,0.0,5.4538771205683914e-05,0.00010827491713833351,0.00025551803671602767
MOM_Momentum12-1_TSZ_20D,4.328126399208434e-05,6.813118643388323e-05,3.639043127623018e-05,3.224967755231812e-05,1.1730459825590617e-05,6.55593369068559e-05
MOM_Momentum12-1_TSR_252D,2.5481273720985418e-05,0.0002020145845408207,5.0664398582975185e-06,3.841800194619595e-05,0.0,5.983305653385277e-05
MOM_RetIntraday_TSZ_20D,1.2387407340729066e-05,2.3075468883629946e-05,0.0,4.1304759907141826e-05,2.3002651921213764e-05,2.9031270294772967e-05
