,fold_0,fold_1,fold_2,fold_3,fold_4
MOM_RetIntraday_TSZ_20D,0.0,0.0,0.0,6.061023809220442e-05,0.0
MOM_RetIntraday_TSR_252D,0.0,0.0,1.0934113219759598e-05,0.00013775318909231741,9.52705018948055e-05
MOM_WinRate10d_TSZ_20D,0.0,0.0,0.0,2.5473769976272426e-05,0.0
MOM_WinRate10d_TSR_252D,0.0,0.0,0.0,0.0,0.0
MOM_MADev25_TSZ_20D,0.0,0.0,0.0,2.7217232467573756e-05,0.0
MOM_MADev25_TSR_252D,4.743297051497882e-05,0.0,0.0001852374399258032,0.0003762866003222521,0.0002288337296621707
MOM_MADev75_TSZ_20D,0.0,0.0,5.720250676597559e-05,0.0042360030026942185,0.0026032820775210392
MOM_MADev75_TSR_252D,0.0,1.0195055371967456e-05,4.38679702936474e-05,0.0002553430442265122,0.0
MOM_MADev200_TSZ_20D,0.0,0.0,2.94597804322355e-05,1.619206747135817e-05,0.0
MOM_MADev200_TSR_252D,0.0,0.0,5.856922582713063e-05,0.00353310418434167,0.0002746812361673881
MOM_Return6m_TSZ_20D,0.0,0.0,1.1649812818520123e-05,5.334972841735477e-05,0.0001300701916473199
MOM_Return6m_TSR_252D,0.0,0.0,5.371524236914337e-05,0.002072656725482445,0.00039742447222819156
MOM_Return12m_TSZ_20D,0.0,0.0,3.3067706349671665e-05,2.2601164026593614e-05,2.867819860660943e-05
MOM_Return12m_TSR_252D,0.0,0.0,0.00026195213331298546,0.00011822015815571955,3.52513582176091e-05
MOM_High52wDist_TSZ_20D,0.0,0.0,0.0,3.9281813436821074e-05,0.0
MOM_High52wDist_TSR_252D,0.0,0.0,0.00037309218318535984,0.00013764847296281126,0.00017479701417381018
VOL_MAE5_TSZ_20D,0.0,0.0,0.0,1.3529347006379442e-05,0.0
VOL_MAE5_TSR_252D,0.0,0.0,0.0,2.5022199381125524e-05,0.0
VOL_MAE10_TSZ_20D,0.0,0.0,0.0,0.0,1.7756963292965276e-05
VOL_MAE10_TSR_252D,0.0,0.0,3.599648670295973e-05,2.068811092293603e-05,8.385457031399823e-05
VOL_DownsideRun_TSZ_20D,0.0,0.0,5.8168329743004856e-05,0.0,0.0
VOL_DownsideRun_TSR_252D,0.0,0.0,4.3253328266263334e-05,0.0,0.0
VOL_ReturnSkewnessDiff_TSZ_20D,0.0,0.0,0.0,0.0,6.285856643299308e-05
VOL_ReturnKurtosis_TSZ_20D,0.0,0.0,0.002521041253092692,6.142122708790217e-05,5.1078238201347876e-05
VOL_ReturnKurtosis_TSR_252D,0.0,0.0,1.0500245534021444e-05,0.00015426858596616995,5.491586021361083e-05
VOL_GapAbs_TSZ_20D,0.0,0.0,0.0,0.0,0.0
VOL_GapAbs_TSR_252D,0.0,0.0,3.746121313285187e-05,4.046676761178192e-05,0.0
VOL_LargeMoveCount_TSZ_20D,0.0,5.6714715854521046e-05,0.00037432117453568397,0.0,0.0
VOL_LargeMoveCount_TSR_252D,0.0,0.0001523452338430453,0.005354651194557303,0.0010609219356010862,0.001924059122953122
VOL_RangeRatioLong_TSZ_20D,0.0,0.0,4.194869825181294e-05,5.0710689947758255e-05,0.0
VOL_RangeRatioLong_TSR_252D,0.0,0.0,0.00024762054225434027,0.0,0.0
VOL_ATRRatio_TSZ_20D,0.0,2.759092579194952e-05,0.00013122837858390446,0.00023775988643167615,0.00019355651748397814
VOL_ATRRatio_TSR_252D,0.0023463744977204235,0.0013971842676809934,0.005947236904118802,0.0027385320457080286,0.004029109262423428
VOL_ATRSqueeze_TSZ_20D,0.0,0.0,0.0,4.690546820527954e-05,0.0
VOL_ATRSqueeze_TSR_252D,0.0,2.0690877295163056e-05,4.2809348747352384e-05,0.00023305993612381847,2.7059399679979745e-05
VOL_ATRSqueezeBB_TSZ_20D,0.0,0.0,0.0,3.103558640985819e-05,7.516514014433e-05
VOL_ATRSqueezeBB_TSR_252D,0.0,0.0,0.000143209201205325,0.0002588775921527507,8.032850801052367e-05
VOL_HistVol20_TSZ_20D,0.0,0.0,0.00013961443003806346,0.00020305166609915957,0.0006655198322398431
VOL_HistVol20_TSR_252D,0.0008712436010978686,0.0017479357291255357,0.006624220222740164,0.0031216656363684983,0.010992645231433881
VOL_HV30_TSZ_20D,0.0,5.4685078352977314e-05,0.0002868528173114846,0.00025187147707726807,0.0003411009209879532
VOL_HV30_TSR_252D,0.00027145706082671456,0.0008075447355325507,0.0010709798755385634,0.001449689794413869,0.0016081282671698077
VOL_HVSlope_TSZ_20D,0.0,2.9104306201921858e-05,0.0,0.0,0.0
VOL_HVSlope_TSR_252D,0.0,0.0,1.5232801806640518e-05,0.00015502037684730351,0.0
VOL_RealizedSkew20_TSZ_20D,0.0,0.00010719383382676492,5.908359008869864e-05,3.272283144242651e-05,0.0
VOL_RealizedSkew20_TSR_252D,0.0,0.0,4.732691433134313e-05,6.775173700374146e-05,6.956695215683447e-05
VOL_UlcerIndex14_TSZ_20D,0.0,0.0,0.0001670194813278098,2.020004762448287e-05,0.0
VOL_UlcerIndex14_TSR_252D,0.0,3.707751704815638e-05,6.3921053807170886e-06,0.0001548670588783952,0.00021199827693903277
VOL_ATRChgRate_TSZ_20D,0.0,0.0,3.033492122709736e-05,2.3666271529091546e-05,0.0
VOL_ATRChgRate_TSR_252D,0.0,0.0,0.0,4.017589084041604e-05,8.604747532368772e-05
VOL_VolatilityParkinson_TSZ_20D,0.0,0.00013523008591798284,0.0,0.0,2.8194316041083987e-05
VOL_VolatilityParkinson_TSR_252D,0.0,0.0003131523324598413,0.0018982375037303403,0.00015679811450281582,0.0011415557642942408
VOL_ReturnVolatility_TSZ_20D,5.9766948658513896e-05,0.0,5.5446137686377786e-05,0.0,3.5935554175146636e-05
VOL_ReturnVolatility_TSR_252D,0.0,7.882650771715886e-05,0.0011593381382805233,0.0002817384477317077,0.0006349139051556684
VOL_VolRatioHV_TSZ_20D,0.0,0.0,0.0,2.9081628934325398e-05,0.00027361678396995353
VOL_VolRatioHV_TSR_252D,0.0,0.0,1.5083001166032478e-05,0.0,0.00012062603321599844
VOL_DownsideDev60_TSZ_20D,2.1963819112665587e-05,6.669774349670458e-05,0.00014068964413371777,0.0011418134008056597,0.0010069332160712672
VOL_DownsideDev60_TSR_252D,0.0,4.765763606425757e-05,0.0001560111440151789,0.0012553469992797352,0.0006112090518552106
VOL_Volatility60_TSZ_20D,0.0,3.579050882035632e-05,7.692753225801309e-05,0.0002207070015410469,0.00023064876652980368
VOL_Volatility60_TSR_252D,0.000232067244114657,0.0006718133429460353,0.0010737631326598461,0.0011130953378717947,0.0018971740783478327
LIQ_AbnormalVolume_TSZ_20D,0.0,0.0,2.6021797143538444e-05,0.0,0.0
LIQ_AbnormalVolume_TSR_252D,0.0,0.0,0.0,3.0456168368148434e-05,2.5948430909556555e-05
LIQ_VolumeChange_TSR_252D,0.0,0.0,0.0,2.0731712273947253e-05,1.202180819244728e-05
LIQ_VolumeSlope5_TSR_252D,0.0,0.0,2.5429411677912758e-05,0.0,0.0
LIQ_LogTradingCap_TSR_252D,0.0,0.0,7.394869752264766e-05,5.1666346697571805e-05,0.0
LIQ_MFI14_TSZ_20D,0.0,0.0,0.0,3.548848347386881e-05,0.0
LIQ_MFI14_TSR_252D,0.0,0.0,0.00019177841910269965,0.0,9.375762797716013e-06
LIQ_VolRatio5d_TSR_252D,0.0,0.0,0.0,6.226305751728848e-05,0.0
LIQ_VolSpikeCount20_TSZ_20D,0.0,0.0,0.000778071557634963,0.0008891174452530787,0.0
LIQ_VolSpikeCount20_TSR_252D,0.0,0.0,0.00079134165405955,0.00041800797592763853,0.0004183721022171617
LIQ_VolUpDownRatio_TSZ_20D,0.0,0.0,0.00012199038774085489,4.604096793341384e-05,0.0
LIQ_VolUpDownRatio_TSR_252D,0.0,0.0,1.2014733954731864e-05,3.31720905179934e-05,0.00015769614864026733
VOL_VolumeMA25_TSZ_20D,0.0,0.0,2.3378239922831594e-05,4.068926814210075e-05,0.0
VOL_VolumeMA25_TSR_252D,0.0,0.0,0.0010333687878338802,0.003256985812502685,0.00034385027823355093
LIQ_TurnoverRatio_TSZ_20D,0.0,0.0,0.0,0.0,0.0
LIQ_TurnoverRatio_TSR_252D,0.0,0.0,0.0,4.230531254579676e-05,2.7258336522017235e-05
