,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average_importance
Market_Foreign_Z_250,0.00011821591058362115,0.0001420665822996417,0.00023961543998058047,0.0002994431029018493,0.0002413369109657237,0.00016376014663131415,0.00020073968222712174
Market_Foreign_Z_60,0.00015135291541291956,0.0003786976114079206,6.769935702121995e-05,0.00016140447152905227,0.00016007404575270865,0.00023593946738549115,0.0001925279780848854
log_pbr_sector_z,0.0001769779934186884,0.00015001498602229663,0.00011359912165313546,0.0002187577075486425,0.00011497330176113802,0.00023042437587895872,0.00016745791438047662
MAE_10,0.0001347824643953766,3.596425516926601e-05,0.0002185041696967061,0.00022798062623411198,0.00013538954083698257,0.00019450044056288336,0.0001578535828158878
EPS_Actual,0.00015410042617224664,0.00022189843027209654,0.00019417875657841524,0.00010211116446072699,0.00014300418581298407,0.00012466919311119177,0.00015666035940127687
log_market_cap,0.00015049270062910528,0.0001714620813578483,0.00018276428460242114,0.0001483060451476538,0.00012326160652700296,0.00013990639384390142,0.0001526988520179888
margin_ratio,0.00011560966062364847,0.0001487717999601364,0.0001436068279448825,0.00013652610769063718,0.00017295336182451905,0.00016830838403613673,0.00014762935701332673
flow_accel,0.00010481483520934074,0.00010881200043444617,8.06069620285585e-05,0.00014583553020681598,8.604558950603256e-05,0.00021865376318764654,0.00012412811342880673
market_segment,0.00011202727540749946,9.948413522574565e-05,0.00010964407817475991,8.989554913535244e-05,0.00011078408281118176,0.00014324919596756653,0.00011084738612035097
hist_vol_20,0.0001391886073153069,9.959830413817885e-05,9.547687362024936e-05,7.72354647098388e-05,5.09096441208292e-05,8.979584488682789e-05,9.203412313187184e-05
Market_Foreign_Diff,9.816651219326443e-05,7.33928767672558e-05,6.867700006579763e-05,8.857134669001715e-05,0.00012567123893053635,8.114360968329076e-05,8.927043072169368e-05
Dist_High_250,5.834101366568021e-05,8.712984494332653e-05,0.00010232604998867239,8.944787948310391e-05,7.241703948217795e-05,9.765816922638584e-05,8.455333279822447e-05
Sector_Momentum_5d,9.678510069648047e-05,0.000122614993834394,7.222306761669703e-05,8.6861337082741e-05,7.14943733371339e-05,5.158235256488566e-05,8.359353752205533e-05
Market_Individual_Z_250,3.6805975637141406e-05,7.728772009003219e-05,0.00012619297028743234,5.079549196170794e-05,8.543777300269732e-05,7.1296452800035e-05,7.463606396317438e-05
atr_chg_rate,8.940421185006334e-05,7.959840649833898e-05,5.079468941586359e-05,7.986352550208346e-05,4.828605756556664e-05,6.780835578620201e-05,6.929254110301968e-05
Dist_SMA25,7.157629209503888e-05,1.0554210725246002e-05,0.00012194593458795549,1.2619181934435847e-05,0.0001027193080073918,6.100722272621891e-05,6.340369167938115e-05
turnover_ratio,8.004077504414606e-05,4.488303369787294e-05,4.705253781346154e-05,8.292566332078325e-05,5.7572361074347956e-05,5.2492969205144755e-05,6.0827890025959425e-05
Market_Individual_Z_60,8.756595171830454e-05,4.751764106359191e-05,5.849682943929449e-05,5.404523740740951e-05,3.743454894388278e-05,5.136177303347517e-05,5.6070330267659734e-05
Gap_Abs,2.513459602034661e-05,0.00010216310877842375,6.135925518967909e-05,7.385681061777907e-05,4.839843712738498e-05,1.4638386064612133e-05,5.425843229970427e-05
margin_buy_impact,4.211809341858661e-05,3.724092481104603e-05,4.585500283808678e-05,3.097104076882344e-05,4.464177849970234e-05,0.00011469411839923362,5.258682645591314e-05
